iter	Passed	Remaining
0	1	166
1	3	173
2	4	153
3	5	137
4	7	147
5	9	147
6	11	148
7	12	143
8	13	139
9	15	138
10	16	134
11	18	133
12	19	131
13	21	129
14	22	129
15	25	136
16	28	136
17	30	137
18	32	139
19	34	136
20	35	132
21	37	132
22	39	132
23	41	130
24	43	129
25	44	126
26	45	124
27	47	122
28	49	120
29	50	118
30	52	117
31	54	116
32	56	115
33	58	113
34	60	111
35	61	109
36	63	108
37	64	105
38	67	104
39	68	103
40	70	101
41	71	99
42	73	97
43	75	95
44	76	93
45	78	92
46	80	90
47	81	88
48	82	86
49	84	84
50	86	82
51	87	80
52	88	78
53	90	76
54	92	75
55	93	73
56	95	71
57	96	69
58	97	68
59	99	66
60	100	64
61	101	62
62	102	60
63	104	58
64	105	56
65	106	55
66	108	53
67	109	51
68	110	49
69	111	47
70	112	46
71	113	44
72	115	42
73	116	41
74	117	39
75	119	37
76	120	36
77	122	34
78	123	32
79	125	31
80	126	29
81	128	28
82	129	26
83	130	24
84	131	23
85	132	21
86	134	20
87	135	18
88	136	16
89	137	15
90	139	13
91	141	12
92	142	10
93	143	9
94	144	7
95	146	6
96	147	4
97	149	3
98	150	1
99	151	0
